Country_Code,Country,Cluster,Cluster_Name,GHG_proj,GHG_ci_lo,GHG_ci_hi,GHG_target,GHG_gap,GHG_on_track,GHG_r2,FEC_proj,FEC_ci_lo,FEC_ci_hi,FEC_target,FEC_gap,FEC_on_track,FEC_r2,RES_proj,RES_ci_lo,RES_ci_hi,RES_target,RES_gap,RES_on_track,RES_r2
FR,France,1,Large Emitters,347.481,326.911,368.05,238.905,108.576,False,0.943,126.647,118.916,134.377,106.839,19.807,False,0.726,25.917,24.328,27.507,33.0,-7.083,False,0.958
IT,Italy,1,Large Emitters,292.922,256.733,329.111,227.093,65.829,False,0.91,95.684,89.051,102.317,101.959,-6.275,True,0.851,25.293,22.835,27.751,39.4,-14.107,False,0.883
PL,Poland,1,Large Emitters,358.257,333.456,383.058,231.055,127.202,False,0.546,77.32,72.313,82.326,58.504,18.816,False,0.718,21.17,19.723,22.617,29.8,-8.63,False,0.952
ES,Spain,1,Large Emitters,223.066,188.291,257.84,132.546,90.519,False,0.873,72.836,64.935,80.737,71.699,1.138,False,0.545,28.645,26.798,30.492,48.0,-19.355,False,0.957
BE,Belgium,2,Heterogeneous Middle,99.994,93.942,106.046,63.258,36.736,False,0.904,31.841,30.012,33.669,29.915,1.926,False,0.425,18.534,17.349,19.718,21.7,-3.166,False,0.973
BG,Bulgaria,2,Heterogeneous Middle,48.998,41.946,56.05,45.34,3.659,False,0.562,9.914,9.089,10.738,8.793,1.121,False,0.079,28.581,25.599,31.564,35.0,-6.419,False,0.883
HR,Croatia,2,Heterogeneous Middle,23.566,21.283,25.848,14.774,8.792,False,0.529,6.697,6.118,7.275,6.605,0.092,False,0.079,32.36,29.356,35.364,42.5,-10.14,False,0.636
CY,Cyprus,2,Heterogeneous Middle,8.575,7.743,9.407,2.512,6.063,False,0.118,1.728,1.513,1.942,1.795,-0.067,True,0.077,25.81,23.366,28.254,33.0,-7.19,False,0.949
CZ,Czechia,2,Heterogeneous Middle,97.686,88.785,106.588,89.812,7.874,False,0.892,22.878,21.475,24.281,20.404,2.474,False,0.251,23.643,22.279,25.006,30.0,-6.357,False,0.964
EE,Estonia,2,Heterogeneous Middle,15.17,8.532,21.808,20.524,-5.354,True,0.416,2.741,2.57,2.912,2.6,0.141,False,0.196,47.299,43.775,50.824,65.0,-17.701,False,0.936
GR,Greece,2,Heterogeneous Middle,45.766,39.015,52.517,44.232,1.534,False,0.965,12.101,9.721,14.48,15.198,-3.097,True,0.723,31.035,29.404,32.666,43.0,-11.965,False,0.978
HU,Hungary,2,Heterogeneous Middle,58.237,50.817,65.657,43.393,14.844,False,0.514,17.683,16.232,19.134,17.711,-0.028,True,0.02,19.506,15.955,23.057,30.0,-10.494,False,0.611
IE,Ireland,2,Heterogeneous Middle,55.763,51.071,60.455,26.528,29.235,False,0.781,11.246,9.9,12.591,10.492,0.754,False,0.098,20.024,18.417,21.63,43.0,-22.976,False,0.958
LT,Lithuania,2,Heterogeneous Middle,22.423,20.448,24.397,21.875,0.548,False,0.272,5.78,5.386,6.174,4.399,1.381,False,0.576,36.981,34.573,39.389,55.0,-18.019,False,0.936
LU,Luxembourg,2,Heterogeneous Middle,6.68,5.842,7.519,5.819,0.861,False,0.918,3.527,3.186,3.867,3.176,0.35,False,0.585,17.596,14.591,20.6,37.0,-19.404,False,0.871
MT,Malta,2,Heterogeneous Middle,1.519,1.034,2.003,1.134,0.385,False,0.68,0.786,0.715,0.858,0.795,-0.009,True,0.819,19.948,17.424,22.472,24.5,-4.552,False,0.937
NL,Netherlands,2,Heterogeneous Middle,137.545,122.087,153.003,100.718,36.827,False,0.868,38.795,35.776,41.814,38.42,0.375,False,0.825,20.177,15.975,24.38,39.0,-18.823,False,0.811
RO,Romania,2,Heterogeneous Middle,89.122,76.924,101.321,108.456,-19.334,True,0.735,23.737,22.03,25.444,22.501,1.236,False,0.059,28.689,26.125,31.253,38.3,-9.611,False,0.714
SK,Slovakia,2,Heterogeneous Middle,38.018,34.708,41.328,33.23,4.788,False,0.729,9.342,8.438,10.245,8.603,0.739,False,0.223,22.034,20.019,24.049,25.0,-2.966,False,0.922
SI,Slovenia,2,Heterogeneous Middle,14.674,13.264,16.084,9.483,5.191,False,0.883,4.365,4.057,4.672,4.299,0.066,False,0.575,27.074,25.353,28.795,33.0,-5.926,False,0.804
AT,Austria,3,Green Transition Leaders,67.445,62.595,72.296,36.08,31.366,False,0.843,25.229,23.962,26.496,21.61,3.619,False,0.111,43.006,39.65,46.363,57.0,-13.994,False,0.816
DK,Denmark,3,Green Transition Leaders,25.849,21.32,30.378,31.06,-5.21,True,0.945,12.642,11.914,13.369,13.702,-1.06,True,0.763,54.452,51.248,57.657,58.0,-3.548,False,0.967
FI,Finland,3,Green Transition Leaders,38.118,31.345,44.891,32.868,5.249,False,0.896,22.515,20.998,24.032,20.594,1.921,False,0.391,56.434,53.8,59.067,62.0,-5.566,False,0.959
LV,Latvia,3,Green Transition Leaders,11.732,11.069,12.395,12.396,-0.664,True,0.373,3.815,3.576,4.053,3.501,0.313,False,0.227,49.67,47.137,52.204,61.0,-11.33,False,0.922
PT,Portugal,3,Green Transition Leaders,47.111,40.405,53.817,25.937,21.175,False,0.818,15.069,13.351,16.786,14.391,0.678,False,0.395,41.632,39.848,43.415,51.0,-9.368,False,0.965
SE,Sweden,3,Green Transition Leaders,43.391,39.906,46.875,33.863,9.527,False,0.921,29.541,28.566,30.515,30.095,-0.554,True,0.617,72.657,69.39,75.925,67.0,5.657,True,0.95
DE,Germany,4,Germany (Singleton),639.23,571.338,707.121,556.035,83.195,False,0.848,188.087,176.681,199.494,160.476,27.612,False,0.565,26.169,25.116,27.222,41.0,-14.831,False,0.983
